time,open,high,low,close,Plot,Plot,Plot,Plot
2024-04-02,88.448,90.094,87.62,89.452,NaN,NaN,NaN,NaN
2024-04-03,88.484,90.374,88.4,88.964,NaN,NaN,NaN,NaN
2024-04-04,90.406,90.63399,85.88,85.905,NaN,NaN,NaN,NaN
2024-04-05,86.866,88.481,85.926,88.008,NaN,NaN,NaN,NaN
2024-04-08,88.7,88.83,86.732,87.133,NaN,NaN,NaN,NaN
2024-04-09,87.442,87.635,83.022,85.354,NaN,NaN,NaN,NaN
2024-04-10,83.926,87.4,83.709,87.039,NaN,NaN,NaN,NaN
2024-04-11,87.42,90.73899,86.926,90.616,NaN,NaN,NaN,NaN
2024-04-12,89.699,90.17499,87.53,88.186,NaN,NaN,NaN,NaN
2024-04-15,89.098,90.613,85.92901,86.001,NaN,NaN,NaN,NaN
2024-04-16,86.4325,88.118,86.0639,87.415,NaN,NaN,NaN,NaN
2024-04-17,88.34,88.775,83.95,84.035,NaN,NaN,NaN,NaN
2024-04-18,84.97,86.18999,82.402,84.671,NaN,NaN,NaN,NaN
2024-04-19,83.15,84.324,75.606,76.2,NaN,NaN,NaN,NaN
2024-04-22,78.104,80.073,76.4,79.518,NaN,NaN,NaN,NaN
2024-04-23,80.769,82.769,80.264,82.423,NaN,NaN,NaN,NaN
2024-04-24,83.95,84.082,79.183,79.677,NaN,NaN,NaN,NaN
2024-04-25,78.86801,83.32299,78.223,82.632,NaN,NaN,NaN,NaN
2024-04-26,83.818,88.33093,83.387,87.735,NaN,NaN,NaN,NaN
2024-04-29,87.595,87.992,85.266,87.757,NaN,NaN,NaN,NaN
2024-04-30,87.24,88.819,86.3,86.402,NaN,NaN,NaN,NaN
2024-05-01,85.077,86,81.25456,83.041,NaN,NaN,NaN,NaN
2024-05-02,84.449,86.237,83.2,85.817,NaN,NaN,NaN,NaN
2024-05-03,87.789,89.281,87.04,88.789,NaN,NaN,NaN,NaN
2024-05-06,89.39,92.22,89.055,92.14,NaN,NaN,NaN,NaN
2024-05-07,91.098,91.78099,89.011,90.554,NaN,NaN,NaN,NaN
2024-05-08,89.4825,91.194,89.42,90.412,NaN,NaN,NaN,NaN
2024-05-09,90.529,91.072,88.231,88.747,NaN,NaN,NaN,NaN
2024-05-10,90.3045,91.401,89.227,89.878,NaN,NaN,NaN,NaN
2024-05-13,90.478,90.998,88.529,90.399,NaN,NaN,NaN,NaN
2024-05-14,89.599,91.651,88.934,91.356,NaN,NaN,NaN,NaN
2024-05-15,92.472,94.862,91.599,94.63,NaN,NaN,NaN,NaN
2024-05-16,94.91,95.81899,94.103,94.359,NaN,NaN,NaN,NaN
2024-05-17,94.369,94.74,91.806,92.479,NaN,NaN,NaN,NaN
2024-05-20,93.75,95.2,93.44,94.78,NaN,NaN,NaN,NaN
2024-05-21,93.599,95.4,93.18,95.386,NaN,NaN,NaN,NaN
2024-05-22,95.459,96.02,93.249,94.95,NaN,NaN,NaN,NaN
2024-05-23,102.028,106.32,101.52,103.799,NaN,NaN,NaN,NaN
2024-05-24,104.449,106.475,103,106.469,NaN,NaN,NaN,NaN
2024-05-28,110.244,114.939,109.883,113.901,NaN,NaN,NaN,NaN
2024-05-29,113.05,115.492,110.901,114.825,NaN,NaN,NaN,NaN
2024-05-30,114.65,115.81915,109.663,110.5,NaN,NaN,NaN,NaN
2024-05-31,112.52,112.717,106.94,109.633,NaN,NaN,NaN,NaN
2024-06-03,113.621,115,112.003,115,NaN,NaN,NaN,NaN
2024-06-04,115.716,116.6,114.045,116.437,NaN,NaN,NaN,NaN
2024-06-05,118.371,122.4495,117.468,122.44,NaN,NaN,NaN,NaN
2024-06-06,124.048,125.587,118.32,120.998,NaN,NaN,NaN,NaN
2024-06-07,119.77,121.69171,118.022,120.888,NaN,NaN,NaN,NaN
2024-06-10,120.37,123.1,117.01,121.79,NaN,NaN,NaN,NaN
2024-06-11,121.77,122.87,118.74,120.91,NaN,NaN,NaN,NaN
2024-06-12,123.06,126.88,122.57,125.2,NaN,NaN,NaN,NaN
2024-06-13,129.39,129.8,127.16,129.61,NaN,NaN,NaN,NaN
2024-06-14,129.96,132.84,128.32,131.88,NaN,NaN,NaN,NaN
2024-06-17,132.99,133.73,129.58,130.98,NaN,NaN,NaN,NaN
2024-06-18,131.14,136.33,130.69,135.58,NaN,NaN,NaN,NaN
2024-06-20,139.8,140.76,129.52,130.78,NaN,NaN,NaN,NaN
2024-06-21,127.12,130.63,124.3,126.57,NaN,NaN,NaN,NaN
2024-06-24,123.24,124.46,118.04,118.11,NaN,NaN,NaN,NaN
2024-06-25,121.2,126.5,119.32,126.09,NaN,NaN,NaN,NaN
2024-06-26,126.13,128.12,122.6,126.4,NaN,NaN,NaN,NaN
2024-06-27,124.1,126.41,122.92,123.99,NaN,NaN,NaN,NaN
2024-06-28,124.58,127.71,122.75,123.54,NaN,NaN,NaN,NaN
2024-07-01,123.47,124.84,118.83,124.3,NaN,NaN,NaN,NaN
2024-07-02,121.13,123.41,121.03,122.67,NaN,NaN,NaN,NaN
2024-07-03,121.66,128.28,121.36,128.28,NaN,NaN,NaN,NaN
2024-07-05,127.38,128.85,125.68,125.83,NaN,NaN,NaN,NaN
2024-07-08,127.49,130.77,127.04,128.2,NaN,NaN,NaN,NaN
2024-07-09,130.35,133.82,128.65,131.38,NaN,NaN,NaN,NaN
2024-07-10,134.03,135.1,132.42,134.91,NaN,NaN,NaN,NaN
2024-07-11,135.75,136.15,127.05,127.4,NaN,NaN,NaN,NaN
2024-07-12,128.26,131.92,127.22,129.24,NaN,NaN,NaN,NaN
2024-07-15,130.56,131.39,127.18,128.44,NaN,NaN,NaN,NaN
2024-07-16,128.44,129.04,124.58,126.36,NaN,NaN,NaN,NaN
2024-07-17,121.35,121.85,116.72,117.99,NaN,NaN,NaN,NaN
2024-07-18,121.85,122.4,116.56,121.09,NaN,NaN,NaN,NaN
2024-07-19,120.35,121.6,117.37,117.93,NaN,NaN,NaN,NaN
2024-07-22,120.35,124.07,119.86,123.54,NaN,NaN,NaN,NaN
2024-07-23,122.78,124.69,122.1,122.59,NaN,NaN,NaN,NaN
2024-07-24,119.17,119.95,113.44,114.25,NaN,NaN,NaN,NaN
2024-07-25,113.04,116.63,106.3,112.28,NaN,NaN,NaN,NaN
2024-07-26,116.19,116.2,111.58,113.06,NaN,NaN,NaN,NaN
2024-07-29,113.69,116.28,111.3,111.59,NaN,NaN,NaN,NaN
2024-07-30,111.52,111.99,102.54,103.73,NaN,NaN,NaN,NaN
2024-07-31,112.9,118.34,110.88,117.02,NaN,NaN,NaN,NaN
2024-08-01,117.53,120.16,106.8104,109.21,NaN,NaN,NaN,NaN
2024-08-02,103.76,108.72,101.37,107.27,NaN,NaN,NaN,NaN
2024-08-05,92.06,103.41,90.69,100.45,NaN,NaN,NaN,NaN
2024-08-06,103.84,107.71,100.55,104.25,NaN,NaN,NaN,NaN
2024-08-07,107.81,108.8,98.69,98.91,NaN,NaN,NaN,NaN
2024-08-08,102,105.5,97.52,104.97,NaN,NaN,NaN,NaN
2024-08-09,105.64,106.6,103.43,104.75,NaN,NaN,NaN,NaN
2024-08-12,106.32,111.07,106.26,109.02,NaN,NaN,NaN,NaN
2024-08-13,112.44,116.23,111.58,116.14,NaN,NaN,NaN,NaN
2024-08-14,118.53,118.6,114.07,118.08,NaN,NaN,NaN,NaN
2024-08-15,118.76,123.24,117.47,122.86,NaN,NaN,NaN,NaN
2024-08-16,121.94,125,121.18,124.58,NaN,NaN,NaN,NaN
2024-08-19,124.28,130,123.42,130,NaN,NaN,NaN,NaN
2024-08-20,128.4,129.88,125.89,127.25,NaN,NaN,NaN,NaN
2024-08-21,127.315,129.35,126.66,128.5,NaN,NaN,NaN,NaN
2024-08-22,130.02,130.75,123.1,123.74,NaN,NaN,NaN,NaN
2024-08-23,125.86,129.6,125.22,129.37,NaN,NaN,NaN,NaN
2024-08-26,129.57,131.26,124.37,126.46,NaN,NaN,NaN,NaN
2024-08-27,125.05,129.2,123.88,128.3,NaN,NaN,NaN,NaN
2024-08-28,128.12,128.33,122.64,125.61,NaN,NaN,NaN,NaN
2024-08-29,121.355,124.43,116.71,117.59,NaN,NaN,NaN,NaN
2024-08-30,119.53,121.75,117.22,119.37,NaN,NaN,NaN,NaN
2024-09-03,116.01,116.21,107.29,108,NaN,NaN,NaN,NaN
2024-09-04,105.41,113.27,104.12,106.21,NaN,NaN,NaN,NaN
2024-09-05,104.985,109.65,104.76,107.21,NaN,NaN,NaN,NaN
2024-09-06,108.04,108.15,100.95,102.83,NaN,NaN,NaN,NaN
2024-09-09,104.88,106.55,103.69,106.47,NaN,NaN,NaN,NaN
2024-09-10,107.81,109.4,104.95,108.1,NaN,NaN,NaN,NaN
2024-09-11,109.39,117.19,107.42,116.91,NaN,NaN,NaN,NaN
2024-09-12,116.84,120.79,115.38,119.14,NaN,NaN,NaN,NaN
2024-09-13,119.08,119.955,117.6,119.1,NaN,NaN,NaN,NaN
2024-09-16,116.79,118.18,114.36,116.78,NaN,NaN,NaN,NaN
2024-09-17,118.17,118.8,114.83,115.59,NaN,NaN,NaN,NaN
2024-09-18,115.89,117.7,113.22,113.37,NaN,NaN,NaN,NaN
2024-09-19,117.35,119.66,117.25,117.87,NaN,NaN,NaN,NaN
2024-09-20,117.06,118.6181,115.3901,116,NaN,NaN,NaN,NaN
2024-09-23,116.55,116.99,114.86,116.26,NaN,NaN,NaN,NaN
2024-09-24,116.515,121.8,115.38,120.87,NaN,NaN,NaN,NaN
2024-09-25,122.02,124.94,121.61,123.51,NaN,NaN,NaN,NaN
2024-09-26,126.8,127.665,121.8,124.04,NaN,NaN,NaN,NaN
2024-09-27,123.97,124.03,119.26,121.4,NaN,NaN,NaN,NaN
2024-09-30,118.31,121.5,118.15,121.44,NaN,NaN,NaN,NaN
2024-10-01,121.765,122.4351,115.79,117,NaN,NaN,NaN,NaN
2024-10-02,116.44,119.38,115.14,118.85,NaN,NaN,NaN,NaN
2024-10-03,120.92,124.36,120.3401,122.85,NaN,NaN,NaN,NaN
2024-10-04,124.94,125.04,121.83,124.92,NaN,NaN,NaN,NaN
2024-10-07,124.99,130.64,124.95,127.72,NaN,NaN,NaN,NaN
2024-10-08,130.26,133.48,129.42,132.89,NaN,NaN,NaN,NaN
2024-10-09,134.11,134.52,131.38,132.65,NaN,NaN,NaN,NaN
2024-10-10,131.91,135,131,134.81,NaN,NaN,NaN,NaN
2024-10-11,134.01,135.78,133.66,134.8,NaN,NaN,NaN,NaN
2024-10-14,136.47,139.6,136.3,138.07,NaN,NaN,NaN,NaN
2024-10-15,137.87,138.57,128.74,131.6,NaN,NaN,NaN,NaN
2024-10-16,133.98,136.62,131.58,135.72,NaN,NaN,NaN,NaN
2024-10-17,139.34,140.89,136.87,136.93,NaN,NaN,NaN,NaN
2024-10-18,138.665,138.9,137.28,138,NaN,NaN,NaN,NaN
2024-10-21,138.13,143.71,138,143.71,NaN,NaN,NaN,NaN
2024-10-22,142.91,144.42,141.78,143.59,NaN,NaN,NaN,NaN
2024-10-23,142.03,142.43,137.46,139.56,NaN,NaN,NaN,NaN
2024-10-24,140.82,141.35,138.46,140.41,NaN,NaN,NaN,NaN
2024-10-25,140.93,144.13,140.8,141.54,NaN,NaN,NaN,NaN
2024-10-28,143,143.14,140.05,140.52,NaN,NaN,NaN,NaN
2024-10-29,140.285,142.2598,138.9,141.25,NaN,NaN,NaN,NaN
2024-10-30,139.54,140.33,136.81,139.335,NaN,NaN,NaN,NaN
2024-10-31,137.6,137.61,132.1106,132.76,NaN,NaN,NaN,NaN
2024-11-01,134.7,137.31,134.57,135.4,NaN,NaN,NaN,NaN
2024-11-04,137.21,138.96,135.57,136.05,NaN,NaN,NaN,NaN
2024-11-05,137.45,140.3701,137.33,139.91,NaN,NaN,NaN,NaN
2024-11-06,142.96,146.49,141.96,145.61,NaN,NaN,NaN,NaN
2024-11-07,146.39,148.93,146.17,148.88,NaN,NaN,NaN,NaN
2024-11-08,148.77,149.77,146.26,147.63,NaN,NaN,NaN,NaN
2024-11-11,148.68,148.85,143.57,145.26,NaN,NaN,NaN,NaN
2024-11-12,146.78,149.65,146.01,148.29,NaN,NaN,NaN,NaN
2024-11-13,149.07,149.33,145.9,146.27,NaN,NaN,NaN,NaN
2024-11-14,147.64,149,145.55,146.76,NaN,NaN,NaN,NaN
2024-11-15,144.87,145.24,140.08,141.98,NaN,NaN,NaN,NaN
2024-11-18,139.5,141.55,137.15,140.15,NaN,NaN,NaN,NaN
2024-11-19,141.32,147.13,140.99,147.01,NaN,NaN,NaN,NaN
2024-11-20,147.41,147.56,142.73,145.89,NaN,NaN,NaN,NaN
2024-11-21,149.35,152.89,140.7,146.67,NaN,NaN,NaN,NaN
2024-11-22,145.93,147.16,141.1,141.95,NaN,NaN,NaN,NaN
2024-11-25,141.99,142.05,135.82,136.02,NaN,NaN,NaN,NaN
2024-11-26,137.7,139.3,135.67,136.92,NaN,NaN,NaN,NaN
2024-11-27,135.01,137.22,131.8,135.34,NaN,NaN,NaN,NaN
2024-11-29,136.78,139.35,136.05,138.25,NaN,NaN,NaN,NaN
2024-12-02,138.83,140.45,137.825,138.63,NaN,NaN,NaN,NaN
2024-12-03,138.26,140.54,137.95,140.26,NaN,NaN,NaN,NaN
2024-12-04,141.995,145.79,140.29,145.14,NaN,NaN,NaN,NaN
2024-12-05,145.11,146.54,143.95,145.06,NaN,NaN,NaN,NaN
2024-12-06,144.6,145.7,141.31,142.44,NaN,NaN,NaN,NaN
2024-12-09,138.97,139.95,137.13,138.81,NaN,NaN,NaN,NaN
2024-12-10,139.01,141.82,133.79,135.07,NaN,NaN,NaN,NaN
2024-12-11,137.36,140.17,135.21,139.31,NaN,NaN,NaN,NaN
2024-12-12,137.08,138.44,135.8,137.34,NaN,NaN,NaN,NaN
2024-12-13,138.94,139.6,132.54,134.25,NaN,NaN,NaN,NaN
2024-12-16,134.18,134.4,130.42,132,NaN,NaN,NaN,NaN
2024-12-17,129.09,131.59,126.86,130.39,NaN,NaN,NaN,NaN
2024-12-18,133.86,136.7,128.28,128.91,NaN,NaN,NaN,NaN
