university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q94192,Point(35.0626 48.4534),1899-01-01T00:00:00Z,National Metallurgical Academy of Ukraine,Ukraine
http://www.wikidata.org/entity/Q94279,Point(-134.638611111 58.385091666),1972-01-01T00:00:00Z,University of Alaska Southeast,United States
http://www.wikidata.org/entity/Q94469,Point(30.7213 46.4805),1920-01-01T00:00:00Z,K. D. Ushynsky South Ukrainian National Pedagogical University,Ukraine
http://www.wikidata.org/entity/Q94473,Point(25.590636111 49.551969444),1957-01-01T00:00:00Z,I. Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine,Ukraine
http://www.wikidata.org/entity/Q94810,Point(101.73107 2.977345),1999-01-01T00:00:00Z,Universiti Tenaga Nasional,Malaysia
http://www.wikidata.org/entity/Q94902,Point(51.26 35.76),1957-01-01T00:00:00Z,Allameh Tabataba'i University,Iran
http://www.wikidata.org/entity/Q114892,Point(129.865136111 32.785975),1949-01-01T00:00:00Z,Nagasaki University,Japan
http://www.wikidata.org/entity/Q115220,Point(132.458055555 34.382222222),1949-01-01T00:00:00Z,Hiroshima University,Japan
http://www.wikidata.org/entity/Q116485,Point(-92.02 30.214444444),1900-01-01T00:00:00Z,University of Louisiana at Lafayette,United States
http://www.wikidata.org/entity/Q118038,Point(27.468888888 42.503611111),1991-09-18T00:00:00Z,Burgas Free University,Bulgaria
http://www.wikidata.org/entity/Q118736,Point(37.5899 55.7464),1991-01-01T00:00:00Z,Independent University of Moscow,Russia
http://www.wikidata.org/entity/Q118736,Point(37.5899 55.7464),1991-01-01T00:00:00Z,Independent University of Moscow,Soviet Union
http://www.wikidata.org/entity/Q124882,Point(12.5911 55.6596),1999-01-01T00:00:00Z,IT University of Copenhagen,Denmark
http://www.wikidata.org/entity/Q125623,,1913-01-01T00:00:00Z,Kinnaird College for Women,Pakistan
http://www.wikidata.org/entity/Q127745,Point(71.4648 51.1602),1996-01-01T00:00:00Z,L. N. Gumilyov Eurasian National University,Kazakhstan
http://www.wikidata.org/entity/Q128111,Point(-82.5561 36.9725),,University of Virginia's College at Wise,United States
http://www.wikidata.org/entity/Q129421,Point(-121.75 38.54),1905-01-01T00:00:00Z,"University of California, Davis",United States
http://www.wikidata.org/entity/Q129900,Point(-99.1598 19.4159),1976-12-13T00:00:00Z,Universidad de la Comunicación,Mexico
http://www.wikidata.org/entity/Q132478,Point(-1.2227 51.754266666),1865-01-01T00:00:00Z,Oxford Brookes University,United Kingdom
http://www.wikidata.org/entity/Q133965,Point(38.9285 45.0467),1922-03-12T00:00:00Z,Kuban State Agrarian University,Russia
http://www.wikidata.org/entity/Q134122,Point(-65.7572 -19.5839),1892-01-01T00:00:00Z,Tomás Frías Autonomous University,Bolivia
http://www.wikidata.org/entity/Q135058,Point(125.789971892 39.01943662),1972-01-01T00:00:00Z,Pyongyang University of Music and Dance,North Korea
http://www.wikidata.org/entity/Q137006,,1932-01-01T00:00:00Z,Guangxi Normal University,People's Republic of China
http://www.wikidata.org/entity/Q144488,Point(21.019169444 52.240280555),1816-01-01T00:00:00Z,University of Warsaw,Poland
http://www.wikidata.org/entity/Q144488,Point(21.019169444 52.240280555),1816-11-19T00:00:00Z,University of Warsaw,Poland
http://www.wikidata.org/entity/Q145501,Point(28.35642 -12.85517),1949-01-01T00:00:00Z,Zambia Forestry College,Zambia
http://www.wikidata.org/entity/Q149990,Point(-77.628333 43.128333),1850-01-01T00:00:00Z,University of Rochester,United States
http://www.wikidata.org/entity/Q155522,Point(28.0273 43.2579),1991-01-01T00:00:00Z,Varna Free University,Bulgaria
http://www.wikidata.org/entity/Q156598,Point(4.485277777 52.156944444),1575-02-18T00:00:00Z,Leiden University,Netherlands
http://www.wikidata.org/entity/Q161562,Point(-118.1244 34.1385),1891-01-01T00:00:00Z,California Institute of Technology,United States
http://www.wikidata.org/entity/Q165053,Point(80.236362 13.01268),1978-01-01T00:00:00Z,Anna University,India
http://www.wikidata.org/entity/Q165980,Point(16.359722222 48.213055555),1365-03-20T00:00:00Z,University of Vienna,Austria
http://www.wikidata.org/entity/Q166202,Point(126.66125 36.58063),1995-01-01T00:00:00Z,Chungwoon University,South Korea
http://www.wikidata.org/entity/Q168751,Point(-78.938888888 36.001111111),1838-01-01T00:00:00Z,Duke University,United States
http://www.wikidata.org/entity/Q169913,,1989-01-01T00:00:00Z,McGhee Center for Eastern Mediterranean Studies,Turkey
http://www.wikidata.org/entity/Q170027,Point(-0.128888888 51.521111111),1836-01-01T00:00:00Z,University of London,United Kingdom
http://www.wikidata.org/entity/Q170027,Point(-0.1308206 51.5229378),1836-01-01T00:00:00Z,University of London,United Kingdom
http://www.wikidata.org/entity/Q171249,Point(36.286 50.042),1930-01-01T00:00:00Z,National Aerospace University – Kharkiv Aviation Institute,Ukraine
http://www.wikidata.org/entity/Q172430,Point(-90.120833333 29.935),1904-01-01T00:00:00Z,Loyola University New Orleans,United States
http://www.wikidata.org/entity/Q174158,Point(35.2 31.775833333),1918-01-01T00:00:00Z,Hebrew University of Jerusalem,Israel
http://www.wikidata.org/entity/Q174710,Point(-118.442777777 34.072222222),1919-07-24T00:00:00Z,"University of California, Los Angeles",United States
http://www.wikidata.org/entity/Q175241,Point(4.41 51.222777777),2003-10-01T00:00:00Z,University of Antwerp,Belgium
http://www.wikidata.org/entity/Q175529,Point(22.544722222 51.247777777),1918-01-01T00:00:00Z,John Paul II Catholic University of Lublin,Poland
http://www.wikidata.org/entity/Q175686,Point(21.13461 55.71948),1935-01-01T00:00:00Z,Klaipėda Pedagogical Institute,Lithuania
